Label,Kernel,Launches,Total_ms,Avg_ms,Min_ms,Max_ms,Block,Grid,Regs,Shmem_static_B,Shmem_dyn_B,Lmem_B,ThOcc_pct,Limiter,pct_GPU
30y/1%,cuco::insert_if,30,1.6778,0.05593,0.02784,0.09837,128,5,37,48,0,0,75.0,shmem,0.00
30y/1%,cuco::init,30,0.0944,0.00315,0.00285,0.00352,256,562,24,0,0,0,100.0,thr,0.00
30y/1%,cub::ForEach,30,0.0436,0.00145,0.00125,0.00173,256,2,16,0,0,0,100.0,thr,0.00
30y/3%,Stage1,52,140494.1506,2701.81059,751.86969,6453.14368,16,53,110,0,0,0,28.1,reg,84.87
30y/3%,Stage3,52,18553.1024,356.79043,115.65550,670.92684,16,53,118,0,0,0,26.6,reg,11.21
30y/3%,cuco::insert,30,3795.8234,126.52745,66.98350,191.35683,128,25090,36,48,0,0,75.0,shmem,2.29
30y/3%,Stage2,52,1780.3273,34.23706,8.18478,176.65626,16,53,118,0,0,0,26.6,reg,1.08
30y/3%,cuco::init,701600,848.8290,0.00121,0.00109,0.00176,256,1,16,0,0,0,100.0,thr,0.51
30y/3%,Stage4,52,59.4395,1.14307,0.68141,1.47741,16,53,107,0,0,0,28.1,reg,0.04
30y/3%,ExtractSizes,104,11.8557,0.11400,0.00259,0.35936,256,53,32,0,0,0,100.0,thr,0.01
30y/3%,cuco::insert_if,30,4.9693,0.16564,0.04960,0.35421,128,22,37,48,0,0,75.0,shmem,0.00
30y/3%,cuco::init,30,0.1159,0.00386,0.00282,0.00506,256,784,24,0,0,0,100.0,thr,0.00
30y/3%,cub::ForEach,30,0.0423,0.00141,0.00128,0.00163,256,6,16,0,0,0,100.0,thr,0.00
30y/5%,Stage1,147,683437.9172,4649.23753,979.03411,14368.14082,16,43,110,0,0,0,28.1,reg,82.73
30y/5%,Stage3,147,127121.0113,864.76878,113.19683,1675.16919,16,43,118,0,0,0,26.6,reg,15.39
30y/5%,Stage2,147,7928.4540,53.93506,8.92193,327.70561,16,43,118,0,0,0,26.6,reg,0.96
30y/5%,cuco::insert,30,5450.6694,181.68898,80.27729,336.05028,128,35719,36,48,0,0,75.0,shmem,0.66
30y/5%,cuco::init,1632903,1975.5822,0.00121,0.00109,0.00189,256,1,16,0,0,0,100.0,thr,0.24
30y/5%,Stage4,147,163.4551,1.11194,0.53312,1.48394,16,43,107,0,0,0,28.1,reg,0.02
30y/5%,ExtractSizes,294,22.3836,0.07613,0.00275,0.36032,256,43,32,0,0,0,100.0,thr,0.00
30y/5%,cuco::insert_if,30,13.9646,0.46549,0.09674,1.13268,128,51,37,48,0,0,75.0,shmem,0.00
30y/5%,cuco::init,30,0.1451,0.00484,0.00301,0.00797,256,1116,24,0,0,0,100.0,thr,0.00
30y/5%,cub::ForEach,30,0.0439,0.00146,0.00128,0.00176,256,13,16,0,0,0,100.0,thr,0.00
30y/6%,Stage1,226,1433553.2926,6343.15616,785.41920,15439.36164,16,40,110,0,0,0,28.1,reg,81.68
30y/6%,Stage3,226,296789.3941,1313.22741,117.23981,2522.28823,16,40,118,0,0,0,26.6,reg,16.91
30y/6%,Stage2,226,14925.1556,66.04051,8.23409,190.39035,16,40,118,0,0,0,26.6,reg,0.85
30y/6%,cuco::insert,30,6667.7679,222.25893,79.60329,461.17174,128,42908,36,48,0,0,75.0,shmem,0.38
30y/6%,cuco::init,2331637,2821.2086,0.00121,0.00109,0.00202,256,1,16,0,0,0,100.0,thr,0.16
30y/6%,Stage4,226,242.0323,1.07094,0.61293,1.57373,16,40,107,0,0,0,28.1,reg,0.01
30y/6%,ExtractSizes,452,31.8425,0.07045,0.00285,0.36614,256,40,32,0,0,0,100.0,thr,0.00
30y/6%,cuco::insert_if,30,17.4468,0.58156,0.13062,1.23959,128,73,37,48,0,0,75.0,shmem,0.00
30y/6%,cuco::init,30,0.1643,0.00548,0.00298,0.00973,256,1341,24,0,0,0,100.0,thr,0.00
30y/6%,cub::ForEach,30,0.0436,0.00145,0.00131,0.00160,256,18,16,0,0,0,100.0,thr,0.00
